# Renewables.ninja Wind power (Point API) - 52.699, -8.922 - Version: 1.1 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068
# Units: time in UTC, local_time in Europe/Dublin, electricity in kW, wind_speed in m/s
# {"units": {"time": "UTC", "local_time": "Europe/Dublin", "electricity": "kW", "wind_speed": "m/s"}, "params": {"local_time": true, "header": true, "lat": "52.6986845", "lon": "-8.921554762550244", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "1", "height": "80", "turbine": "Siemens SWT-3.2-113", "raw": true}}
time,local_time,electricity,wind_speed
2019-01-01 00:00,2019-01-01 00:00,0.191,5.598
2019-01-01 01:00,2019-01-01 01:00,0.165,5.314
2019-01-01 02:00,2019-01-01 02:00,0.137,4.996
2019-01-01 03:00,2019-01-01 03:00,0.127,4.869
2019-01-01 04:00,2019-01-01 04:00,0.123,4.804
2019-01-01 05:00,2019-01-01 05:00,0.110,4.631
2019-01-01 06:00,2019-01-01 06:00,0.091,4.362
2019-01-01 07:00,2019-01-01 07:00,0.076,4.105
2019-01-01 08:00,2019-01-01 08:00,0.066,3.919
2019-01-01 09:00,2019-01-01 09:00,0.061,3.820
2019-01-01 10:00,2019-01-01 10:00,0.057,3.712
2019-01-01 11:00,2019-01-01 11:00,0.047,3.494
2019-01-01 12:00,2019-01-01 12:00,0.037,3.243
2019-01-01 13:00,2019-01-01 13:00,0.031,3.068
2019-01-01 14:00,2019-01-01 14:00,0.029,2.976
2019-01-01 15:00,2019-01-01 15:00,0.029,3.011
2019-01-01 16:00,2019-01-01 16:00,0.030,3.034
2019-01-01 17:00,2019-01-01 17:00,0.030,3.044
2019-01-01 18:00,2019-01-01 18:00,0.033,3.135
2019-01-01 19:00,2019-01-01 19:00,0.040,3.324
2019-01-01 20:00,2019-01-01 20:00,0.052,3.611
2019-01-01 21:00,2019-01-01 21:00,0.065,3.887
2019-01-01 22:00,2019-01-01 22:00,0.073,4.030
2019-01-01 23:00,2019-01-01 23:00,0.075,4.079
2019-01-02 00:00,2019-01-02 00:00,0.070,3.992
2019-01-02 01:00,2019-01-02 01:00,0.066,3.921
2019-01-02 02:00,2019-01-02 02:00,0.066,3.913
2019-01-02 03:00,2019-01-02 03:00,0.075,4.078
2019-01-02 04:00,2019-01-02 04:00,0.089,4.327
2019-01-02 05:00,2019-01-02 05:00,0.101,4.503
2019-01-02 06:00,2019-01-02 06:00,0.106,4.588
2019-01-02 07:00,2019-01-02 07:00,0.112,4.666
2019-01-02 08:00,2019-01-02 08:00,0.124,4.830
2019-01-02 09:00,2019-01-02 09:00,0.133,4.951
2019-01-02 10:00,2019-01-02 10:00,0.127,4.864
2019-01-02 11:00,2019-01-02 11:00,0.123,4.817
2019-01-02 12:00,2019-01-02 12:00,0.124,4.832
2019-01-02 13:00,2019-01-02 13:00,0.123,4.818
2019-01-02 14:00,2019-01-02 14:00,0.112,4.669
2019-01-02 15:00,2019-01-02 15:00,0.116,4.719
2019-01-02 16:00,2019-01-02 16:00,0.128,4.890
2019-01-02 17:00,2019-01-02 17:00,0.150,5.153
2019-01-02 18:00,2019-01-02 18:00,0.176,5.437
2019-01-02 19:00,2019-01-02 19:00,0.193,5.610
2019-01-02 20:00,2019-01-02 20:00,0.208,5.766
2019-01-02 21:00,2019-01-02 21:00,0.223,5.901
2019-01-02 22:00,2019-01-02 22:00,0.240,6.049
2019-01-02 23:00,2019-01-02 23:00,0.246,6.098
2019-01-03 00:00,2019-01-03 00:00,0.255,6.181
2019-01-03 01:00,2019-01-03 01:00,0.252,6.161
2019-01-03 02:00,2019-01-03 02:00,0.242,6.071
2019-01-03 03:00,2019-01-03 03:00,0.236,6.016
2019-01-03 04:00,2019-01-03 04:00,0.250,6.140
2019-01-03 05:00,2019-01-03 05:00,0.274,6.339
2019-01-03 06:00,2019-01-03 06:00,0.307,6.603
2019-01-03 07:00,2019-01-03 07:00,0.316,6.674
2019-01-03 08:00,2019-01-03 08:00,0.320,6.703
2019-01-03 09:00,2019-01-03 09:00,0.334,6.819
2019-01-03 10:00,2019-01-03 10:00,0.307,6.607
2019-01-03 11:00,2019-01-03 11:00,0.282,6.411
2019-01-03 12:00,2019-01-03 12:00,0.276,6.350
2019-01-03 13:00,2019-01-03 13:00,0.278,6.370
2019-01-03 14:00,2019-01-03 14:00,0.260,6.223
2019-01-03 15:00,2019-01-03 15:00,0.272,6.322
2019-01-03 16:00,2019-01-03 16:00,0.314,6.660
2019-01-03 17:00,2019-01-03 17:00,0.348,6.914
2019-01-03 18:00,2019-01-03 18:00,0.375,7.115
2019-01-03 19:00,2019-01-03 19:00,0.412,7.379
2019-01-03 20:00,2019-01-03 20:00,0.429,7.502
2019-01-03 21:00,2019-01-03 21:00,0.433,7.524
2019-01-03 22:00,2019-01-03 22:00,0.428,7.498
2019-01-03 23:00,2019-01-03 23:00,0.416,7.407
2019-01-04 00:00,2019-01-04 00:00,0.395,7.255
2019-01-04 01:00,2019-01-04 01:00,0.377,7.122
2019-01-04 02:00,2019-01-04 02:00,0.362,7.022
2019-01-04 03:00,2019-01-04 03:00,0.352,6.941
2019-01-04 04:00,2019-01-04 04:00,0.330,6.783
2019-01-04 05:00,2019-01-04 05:00,0.303,6.575
2019-01-04 06:00,2019-01-04 06:00,0.294,6.506
2019-01-04 07:00,2019-01-04 07:00,0.322,6.723
2019-01-04 08:00,2019-01-04 08:00,0.357,6.983
2019-01-04 09:00,2019-01-04 09:00,0.371,7.079
2019-01-04 10:00,2019-01-04 10:00,0.332,6.803
2019-01-04 11:00,2019-01-04 11:00,0.298,6.541
