# Renewables.ninja Solar photovoltaic power (PV) (Point API) - 54.224, -9.987 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in Europe/Dublin, electricity in kW, irradiance_direct in unknown, irradiance_diffuse in unknown, temperature in ºC
# {"units": {"time": "UTC", "local_time": "Europe/Dublin", "electricity": "kW", "irradiance_direct": "unknown", "irradiance_diffuse": "unknown", "temperature": "\u00baC"}, "params": {"local_time": true, "header": true, "lat": "54.22411", "lon": "-9.9872173", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "1", "system_loss": "0.1", "tracking": "0", "tilt": "35", "azim": "180", "raw": true}}
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
2019-01-01 00:00,2019-01-01 00:00,0,0,0,10.031
2019-01-01 01:00,2019-01-01 01:00,0,0,0,10.015
2019-01-01 02:00,2019-01-01 02:00,0,0,0,10.002
2019-01-01 03:00,2019-01-01 03:00,0,0,0,9.973
2019-01-01 04:00,2019-01-01 04:00,0,0,0,9.955
2019-01-01 05:00,2019-01-01 05:00,0,0,0,9.937
2019-01-01 06:00,2019-01-01 06:00,0,0,0,9.913
2019-01-01 07:00,2019-01-01 07:00,0,0,0,9.866
2019-01-01 08:00,2019-01-01 08:00,0,0,0,9.815
2019-01-01 09:00,2019-01-01 09:00,0,0,0.002,9.778
2019-01-01 10:00,2019-01-01 10:00,0.004,0.001,0.012,9.793
2019-01-01 11:00,2019-01-01 11:00,0.011,0.001,0.022,9.822
2019-01-01 12:00,2019-01-01 12:00,0.017,0.001,0.030,9.834
2019-01-01 13:00,2019-01-01 13:00,0.017,0.001,0.029,9.801
2019-01-01 14:00,2019-01-01 14:00,0.010,0.001,0.020,9.723
2019-01-01 15:00,2019-01-01 15:00,0.001,0,0.008,9.602
2019-01-01 16:00,2019-01-01 16:00,0,0,0,9.466
2019-01-01 17:00,2019-01-01 17:00,0,0,0,9.385
2019-01-01 18:00,2019-01-01 18:00,0,0,0,9.297
2019-01-01 19:00,2019-01-01 19:00,0,0,0,9.191
2019-01-01 20:00,2019-01-01 20:00,0,0,0,9.001
2019-01-01 21:00,2019-01-01 21:00,0,0,0,8.743
2019-01-01 22:00,2019-01-01 22:00,0,0,0,8.456
2019-01-01 23:00,2019-01-01 23:00,0,0,0,8.177
2019-01-02 00:00,2019-01-02 00:00,0,0,0,7.919
2019-01-02 01:00,2019-01-02 01:00,0,0,0,7.710
2019-01-02 02:00,2019-01-02 02:00,0,0,0,7.455
2019-01-02 03:00,2019-01-02 03:00,0,0,0,7.273
2019-01-02 04:00,2019-01-02 04:00,0,0,0,7.127
2019-01-02 05:00,2019-01-02 05:00,0,0,0,7.064
2019-01-02 06:00,2019-01-02 06:00,0,0,0,7.058
2019-01-02 07:00,2019-01-02 07:00,0,0,0,7.053
2019-01-02 08:00,2019-01-02 08:00,0,0,0,7.094
2019-01-02 09:00,2019-01-02 09:00,0.002,0.001,0.008,7.201
2019-01-02 10:00,2019-01-02 10:00,0.015,0.002,0.025,7.444
2019-01-02 11:00,2019-01-02 11:00,0.028,0.004,0.040,7.745
2019-01-02 12:00,2019-01-02 12:00,0.051,0.008,0.061,8.023
2019-01-02 13:00,2019-01-02 13:00,0.050,0.008,0.060,8.221
2019-01-02 14:00,2019-01-02 14:00,0.031,0.006,0.042,8.299
2019-01-02 15:00,2019-01-02 15:00,0.009,0.002,0.017,8.227
2019-01-02 16:00,2019-01-02 16:00,0,0,0.001,8.076
2019-01-02 17:00,2019-01-02 17:00,0,0,0,8.024
2019-01-02 18:00,2019-01-02 18:00,0,0,0,8.023
2019-01-02 19:00,2019-01-02 19:00,0,0,0,8.106
2019-01-02 20:00,2019-01-02 20:00,0,0,0,8.203
2019-01-02 21:00,2019-01-02 21:00,0,0,0,8.273
2019-01-02 22:00,2019-01-02 22:00,0,0,0,8.345
2019-01-02 23:00,2019-01-02 23:00,0,0,0,8.407
2019-01-03 00:00,2019-01-03 00:00,0,0,0,8.466
2019-01-03 01:00,2019-01-03 01:00,0,0,0,8.580
2019-01-03 02:00,2019-01-03 02:00,0,0,0,8.644
2019-01-03 03:00,2019-01-03 03:00,0,0,0,8.621
2019-01-03 04:00,2019-01-03 04:00,0,0,0,8.509
2019-01-03 05:00,2019-01-03 05:00,0,0,0,8.377
2019-01-03 06:00,2019-01-03 06:00,0,0,0,8.242
2019-01-03 07:00,2019-01-03 07:00,0,0,0,8.130
2019-01-03 08:00,2019-01-03 08:00,0,0,0,8.050
2019-01-03 09:00,2019-01-03 09:00,0.004,0.003,0.010,8.010
2019-01-03 10:00,2019-01-03 10:00,0.032,0.009,0.040,8.081
2019-01-03 11:00,2019-01-03 11:00,0.066,0.018,0.068,8.250
2019-01-03 12:00,2019-01-03 12:00,0.071,0.017,0.074,8.556
2019-01-03 13:00,2019-01-03 13:00,0.080,0.023,0.077,8.866
2019-01-03 14:00,2019-01-03 14:00,0.068,0.025,0.063,9.096
2019-01-03 15:00,2019-01-03 15:00,0.032,0.017,0.031,9.076
2019-01-03 16:00,2019-01-03 16:00,0,0.001,0.001,8.761
2019-01-03 17:00,2019-01-03 17:00,0,0,0,8.578
2019-01-03 18:00,2019-01-03 18:00,0,0,0,8.387
2019-01-03 19:00,2019-01-03 19:00,0,0,0,8.194
2019-01-03 20:00,2019-01-03 20:00,0,0,0,7.969
2019-01-03 21:00,2019-01-03 21:00,0,0,0,7.729
2019-01-03 22:00,2019-01-03 22:00,0,0,0,7.559
2019-01-03 23:00,2019-01-03 23:00,0,0,0,7.375
2019-01-04 00:00,2019-01-04 00:00,0,0,0,7.270
2019-01-04 01:00,2019-01-04 01:00,0,0,0,7.176
2019-01-04 02:00,2019-01-04 02:00,0,0,0,7.129
2019-01-04 03:00,2019-01-04 03:00,0,0,0,7.184
2019-01-04 04:00,2019-01-04 04:00,0,0,0,7.369
2019-01-04 05:00,2019-01-04 05:00,0,0,0,7.497
2019-01-04 06:00,2019-01-04 06:00,0,0,0,7.576
2019-01-04 07:00,2019-01-04 07:00,0,0,0,7.612
2019-01-04 08:00,2019-01-04 08:00,0,0,0,7.611
2019-01-04 09:00,2019-01-04 09:00,0.010,0.007,0.014,7.600
2019-01-04 10:00,2019-01-04 10:00,0.050,0.019,0.050,7.735
2019-01-04 11:00,2019-01-04 11:00,0.090,0.033,0.078,7.972
2019-01-04 12:00,2019-01-04 12:00,0.100,0.035,0.088,8.198
2019-01-04 13:00,2019-01-04 13:00,0.091,0.031,0.082,8.340
2019-01-04 14:00,2019-01-04 14:00,0.067,0.025,0.062,8.374
2019-01-04 15:00,2019-01-04 15:00,0.026,0.012,0.029,8.274
2019-01-04 16:00,2019-01-04 16:00,0,0,0.001,7.821
2019-01-04 17:00,2019-01-04 17:00,0,0,0,7.970
2019-01-04 18:00,2019-01-04 18:00,0,0,0,8.088
2019-01-04 19:00,2019-01-04 19:00,0,0,0,8.137
2019-01-04 20:00,2019-01-04 20:00,0,0,0,8.139
2019-01-04 21:00,2019-01-04 21:00,0,0,0,7.998
2019-01-04 22:00,2019-01-04 22:00,0,0,0,7.735
2019-01-04 23:00,2019-01-04 23:00,0,0,0,7.462
2019-01-05 00:00,2019-01-05 00:00,0,0,0,7.382
2019-01-05 01:00,2019-01-05 01:00,0,0,0,7.386
2019-01-05 02:00,2019-01-05 02:00,0,0,0,7.463
2019-01-05 03:00,2019-01-05 03:00,0,0,0,7.636
2019-01-05 04:00,2019-01-05 04:00,0,0,0,7.944
2019-01-05 05:00,2019-01-05 05:00,0,0,0,8.228
2019-01-05 06:00,2019-01-05 06:00,0,0,0,8.513
2019-01-05 07:00,2019-01-05 07:00,0,0,0,8.780
2019-01-05 08:00,2019-01-05 08:00,0,0,0,8.966
2019-01-05 09:00,2019-01-05 09:00,0.001,0.001,0.006,9.096
2019-01-05 10:00,2019-01-05 10:00,0.010,0.001,0.020,9.261
2019-01-05 11:00,2019-01-05 11:00,0.019,0.002,0.032,9.462
2019-01-05 12:00,2019-01-05 12:00,0.020,0.002,0.033,9.655
2019-01-05 13:00,2019-01-05 13:00,0.015,0.001,0.027,9.727
2019-01-05 14:00,2019-01-05 14:00,0.010,0.001,0.020,9.792
2019-01-05 15:00,2019-01-05 15:00,0.001,0,0.008,9.875
2019-01-05 16:00,2019-01-05 16:00,0,0,0,9.972
2019-01-05 17:00,2019-01-05 17:00,0,0,0,10.080
2019-01-05 18:00,2019-01-05 18:00,0,0,0,10.201
2019-01-05 19:00,2019-01-05 19:00,0,0,0,10.310
2019-01-05 20:00,2019-01-05 20:00,0,0,0,10.371
2019-01-05 21:00,2019-01-05 21:00,0,0,0,10.421
2019-01-05 22:00,2019-01-05 22:00,0,0,0,10.407
2019-01-05 23:00,2019-01-05 23:00,0,0,0,10.444
2019-01-06 00:00,2019-01-06 00:00,0,0,0,10.505
2019-01-06 01:00,2019-01-06 01:00,0,0,0,10.517
2019-01-06 02:00,2019-01-06 02:00,0,0,0,10.487
2019-01-06 03:00,2019-01-06 03:00,0,0,0,10.424
2019-01-06 04:00,2019-01-06 04:00,0,0,0,10.355
2019-01-06 05:00,2019-01-06 05:00,0,0,0,10.368
2019-01-06 06:00,2019-01-06 06:00,0,0,0,10.331
2019-01-06 07:00,2019-01-06 07:00,0,0,0,10.226
2019-01-06 08:00,2019-01-06 08:00,0,0,0,10.214
